USER          PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
scottkellar 59349 s097   16.1 S    31T   0:00.03   0:00.08 /var/fo 59349 S    /var/folders/4v/r7dmc5gn00l0f70jj65h4w0c0000gn/T//hive-terminal-b20.Qs1vP6/build-x86_64/x86_64-apple-macosx/debug/HiveTerminalB20Probe
            59349         0.0 S    31T   0:00.00   0:00.00         59349 S
            59349         2.8 S     4T   0:00.01   0:00.01         59349 S
            59349         0.4 S    31T   0:00.00   0:00.00         59349 S
            59349         0.0 S    31T   0:00.00   0:00.00         59349 S
            59349         0.0 S    31T   0:00.00   0:00.00         59349 S
            59349         0.0 S    31T   0:00.00   0:00.00         59349 S
            59349         3.0 S    31T   0:00.00   0:00.01         59349 S
            59349         0.3 S    31T   0:00.00   0:00.00         59349 S
            59349         0.0 S    54R   0:00.00   0:00.00         59349 S
            59349         0.1 S    31T   0:00.00   0:00.00         59349 S
            59349         1.3 S    31T   0:00.00   0:00.00         59349 S
